,stim_name,angle,velocity,stim_type,stationary_time,duration
366,converging,"(90, 270)","(0.02, 0.02)",b,3,35
367,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
368,x_forward,"(0, 0)","(0, 0.02)",b,3,35
369,backward,90,0.02,s,3,35
370,forward_x,"(0, 0)","(0.02, 0)",b,3,35
371,backward_right,45,0.02,s,3,35
372,forward_left,225,0.02,s,3,35
373,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
374,backward_x,"(180, 180)","(0.02, 0)",b,3,35
375,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
376,forward_right,-45,0.02,s,3,35
377,medial_left,"(90, 270)","(0, 0.02)",b,3,35
378,backward_left,135,0.02,s,3,35
379,left,180,0.02,s,3,35
380,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
381,forward,-90,0.02,s,3,35
382,medial_right,"(90, 270)","(0.02, 0)",b,3,35
383,right,0,0.02,s,3,35
384,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
385,x_backward,"(180, 180)","(0, 0.02)",b,3,35
386,converging,"(90, 270)","(0.02, 0.02)",b,3,35
387,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
388,x_forward,"(0, 0)","(0, 0.02)",b,3,35
389,backward,90,0.02,s,3,35
390,forward_x,"(0, 0)","(0.02, 0)",b,3,35
391,backward_right,45,0.02,s,3,35
392,forward_left,225,0.02,s,3,35
393,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
394,backward_x,"(180, 180)","(0.02, 0)",b,3,35
395,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
396,forward_right,-45,0.02,s,3,35
397,medial_left,"(90, 270)","(0, 0.02)",b,3,35
398,backward_left,135,0.02,s,3,35
399,left,180,0.02,s,3,35
400,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
401,forward,-90,0.02,s,3,35
402,medial_right,"(90, 270)","(0.02, 0)",b,3,35
403,right,0,0.02,s,3,35
404,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
405,x_backward,"(180, 180)","(0, 0.02)",b,3,35
406,converging,"(90, 270)","(0.02, 0.02)",b,3,35
407,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
408,x_forward,"(0, 0)","(0, 0.02)",b,3,35
409,backward,90,0.02,s,3,35
410,forward_x,"(0, 0)","(0.02, 0)",b,3,35
411,backward_right,45,0.02,s,3,35
412,forward_left,225,0.02,s,3,35
413,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
414,backward_x,"(180, 180)","(0.02, 0)",b,3,35
415,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
416,forward_right,-45,0.02,s,3,35
417,medial_left,"(90, 270)","(0, 0.02)",b,3,35
418,backward_left,135,0.02,s,3,35
419,left,180,0.02,s,3,35
420,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
421,forward,-90,0.02,s,3,35
422,blank,-90,0,s,0,14400
423,medial_right,"(90, 270)","(0.02, 0)",b,3,35
424,right,0,0.02,s,3,35
425,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
426,x_backward,"(180, 180)","(0, 0.02)",b,3,35
427,converging,"(90, 270)","(0.02, 0.02)",b,3,35
428,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
429,x_forward,"(0, 0)","(0, 0.02)",b,3,35
430,backward,90,0.02,s,3,35
431,forward_x,"(0, 0)","(0.02, 0)",b,3,35
432,backward_right,45,0.02,s,3,35
433,forward_left,225,0.02,s,3,35
434,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
435,backward_x,"(180, 180)","(0.02, 0)",b,3,35
436,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
437,forward_right,-45,0.02,s,3,35
438,medial_left,"(90, 270)","(0, 0.02)",b,3,35
439,backward_left,135,0.02,s,3,35
440,left,180,0.02,s,3,35
441,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
442,forward,-90,0.02,s,3,35
443,medial_right,"(90, 270)","(0.02, 0)",b,3,35
444,right,0,0.02,s,3,35
445,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
446,x_backward,"(180, 180)","(0, 0.02)",b,3,35
447,converging,"(90, 270)","(0.02, 0.02)",b,3,35
