,stim_name,angle,velocity,stim_type,stationary_time,duration
785,medial_right,"(90, 270)","(0.02, 0)",b,3,35
786,right,0,0.02,s,3,35
787,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
788,x_backward,"(180, 180)","(0, 0.02)",b,3,35
789,converging,"(90, 270)","(0.02, 0.02)",b,3,35
790,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
791,x_forward,"(0, 0)","(0, 0.02)",b,3,35
792,backward,90,0.02,s,3,35
793,forward_x,"(0, 0)","(0.02, 0)",b,3,35
794,backward_right,45,0.02,s,3,35
795,forward_left,225,0.02,s,3,35
796,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
797,backward_x,"(180, 180)","(0.02, 0)",b,3,35
798,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
799,forward_right,-45,0.02,s,3,35
800,medial_left,"(90, 270)","(0, 0.02)",b,3,35
801,backward_left,135,0.02,s,3,35
802,left,180,0.02,s,3,35
803,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
804,forward,-90,0.02,s,3,35
805,medial_right,"(90, 270)","(0.02, 0)",b,3,35
806,right,0,0.02,s,3,35
807,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
808,x_backward,"(180, 180)","(0, 0.02)",b,3,35
809,converging,"(90, 270)","(0.02, 0.02)",b,3,35
810,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
811,x_forward,"(0, 0)","(0, 0.02)",b,3,35
812,backward,90,0.02,s,3,35
813,forward_x,"(0, 0)","(0.02, 0)",b,3,35
814,backward_right,45,0.02,s,3,35
815,forward_left,225,0.02,s,3,35
816,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
817,backward_x,"(180, 180)","(0.02, 0)",b,3,35
818,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
819,forward_right,-45,0.02,s,3,35
820,medial_left,"(90, 270)","(0, 0.02)",b,3,35
821,backward_left,135,0.02,s,3,35
822,left,180,0.02,s,3,35
823,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
824,forward,-90,0.02,s,3,35
825,medial_right,"(90, 270)","(0.02, 0)",b,3,35
826,right,0,0.02,s,3,35
827,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
828,x_backward,"(180, 180)","(0, 0.02)",b,3,35
829,converging,"(90, 270)","(0.02, 0.02)",b,3,35
830,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
831,x_forward,"(0, 0)","(0, 0.02)",b,3,35
832,backward,90,0.02,s,3,35
833,forward_x,"(0, 0)","(0.02, 0)",b,3,35
834,backward_right,45,0.02,s,3,35
835,forward_left,225,0.02,s,3,35
836,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
837,backward_x,"(180, 180)","(0.02, 0)",b,3,35
838,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
839,forward_right,-45,0.02,s,3,35
